Alveoli,Count
C3A10Ch7H12d2_A,2
C7A2Ch2H12d1_B,2
C4A7Ch3H8d2_A,4
C4A6Ch2H3d2_A,2
C6A6Ch5H15d1_B,1
C4A2Ch5H15d1_B,1
C4A7Ch5H3d2_A,3
C4A2Ch1H5d1_A,1
C5A2Ch3H12d1_B,2
C4A11Ch8H11d1_A,2
C3A13Ch1H4d1_B,2
C1A6Ch1H4d2_A,2
C8A7Ch1H8d2_B,2
C8A11Ch10H10d1_A,2
C6A6Ch3H17d1_B,3
C8A8Ch3H6d2_B,2
C3A10Ch8H9d1_A,2
C7A2Ch1H13d2_B,2
C4A7Ch3H8d2_B,4
C4A6Ch2H3d2_B,2
C6A6Ch5H15d2_B,1
C4A2Ch5H15d2_A,1
C4A7Ch5H3d2_B,3
C4A2Ch1H5d2_A,1
C5A2Ch3H12d2_A,2
C4A11Ch8H11d1_B,2
C3A13Ch1H4d2_B,2
C1A6Ch1H4d2_B,2
C8A7Ch1H10d2_A,2
C6A6Ch3H17d2_B,3
C3A10Ch7H11d2_A,2
C7A2Ch1H11d1_A,2
C4A7Ch3H9d1_B,4
C4A6Ch2H4d1_B,2
C6A6Ch5H16d1_B,3
C4A2Ch5H15d2_B,1
C4A7Ch5H4d1_A,3
C5A1Ch3H13d1_A,1
C5A2Ch3H12d2_B,2
C4A11Ch8H11d2_B,2
C3A13Ch1H4d2_A,2
C1A6Ch1H5d1_A,2
C8A7Ch1H10d1_B,2
C6A7Ch11H7d1_A,2
C7A2Ch2H10d1_A,2
C4A7Ch3H9d1_A,4
C4A6Ch2H4d1_A,2
C6A6Ch5H16d2_B,3
C4A4Ch11H1d1_B,1
C4A7Ch5H4d1_B,3
C5A1Ch3H13d2_A,1
C5A2Ch3H13d1_B,2
C4A11Ch8H11d2_A,2
C3A13Ch1H5d1_A,2
C1A6Ch1H5d1_B,2
C8A7Ch1H10d2_B,2
C3A10Ch8H16d1_B,2
C7A14Ch9H3d2_A,2
C4A7Ch3H9d2_B,4
C4A6Ch2H4d2_A,2
C6A6Ch5H18d1_B,3
C4A6Ch3H13d1_A,2
C4A7Ch5H4d2_A,3
C5A14Ch2H16d1_A,1
C5A2Ch3H13d1_A,2
C4A11Ch8H12d1_B,2
C3A13Ch1H5d1_B,2
C1A6Ch1H5d2_B,2
C8A7Ch1H11d1_B,2
C3A10Ch8H15d1_B,2
C7A2Ch1H11d1_B,2
C4A7Ch3H9d2_A,4
C4A6Ch2H4d2_B,2
C6A6Ch5H18d2_B,3
C4A6Ch3H13d2_A,2
C4A7Ch5H4d2_B,3
C5A14Ch2H16d2_A,1
C5A2Ch3H13d2_A,2
C4A11Ch8H12d1_A,2
C3A13Ch1H5d2_B,2
C1A6Ch1H5d2_A,2
C8A7Ch1H12d2_B,2
C6A7Ch11H15d1_B,2
C7A2Ch1H16d2_B,2
C4A7Ch3H10d1_A,4
C4A6Ch2H5d1_B,2
C4A7Ch3H1d1_A,2
C4A7Ch5H5d1_A,3
C7A6Ch3H4d1_A,1
